"metadata","canton","value","value_metadata"
"Politics","AG",108240,
"Number of SVP / UDC Voters per Canton","AR",0,
"People per Canton","AI",0,
,"BS",16732,
,"BL",38242,
,"BE",160985,
2007,"FR",29960,
"October 22nd 2011","GE",47227,
,"GL",6627,
"absolute","GR",32685,
,"JU",4692,
,"LU",46717,
,"NE",19523,
,"NW",0,
,"OW",5725,
,"SH",14599,
,"SZ",32288,
,"SO",33830,
,"SG",83838,
,"TG",51390,
,"TI",14199,
,"UR",0,
,"VS",25382,
,"VD",78130,
,"ZG",16095,
,"ZH",229936,
