"metadata","canton","value","value_metadata"
"Politics","AG",40366,
"Number of CVP / PDC Voters per Canton","AR",0,
"People per Canton","AI",6490,
,"BS",6693,
,"BL",15297,
,"BE",22519,
2007,"FR",33773,
"October 22nd 2011","GE",21711,
,"GL",0,
"absolute","GR",19121,
,"JU",8561,
,"LU",55765,
,"NE",2777,
,"NW",0,
,"OW",5655,
,"SH",0,
,"SZ",14422,
,"SO",25466,
,"SG",50116,
,"TG",18466,
,"TI",39332,
,"UR",0,
,"VS",68653,
,"VD",19532,
,"ZG",12887,
,"ZH",51549,
