"metadata","canton","value","value_metadata"
"Population","AG",131465,
"Number of Foreigners in Canton","AR",7369,
"People per Canton","AI",1569,
,"BS",58259,
,"BL",51862,
,"BE",127374,
2009,"FR",49293,
"October 22nd 2011","GE",177136,
,"GL",7644,
"absolute","GR",31012,
,"JU",8614,
,"LU",61928,
,"NE",39752,
,"NW",4390,
,"OW",4590,
,"SH",17486,
,"SZ",26411,
,"SO",49270,
,"SG",103923,
,"TG",52173,
,"TI",84773,
,"UR",3330,
,"VS",63788,
,"VD",217551,
,"ZG",26353,
,"ZH",328735,
