"metadata","canton","value","value_metadata"
"Politics","AG",53522,
"Number of SPS / PSS Voters per Canton","AR","-",
"People per Canton","AI","-",
,"BS",31835,
,"BL",33814,
,"BE",101574,
2007,"FR",30914,
"October 22nd 2011","GE",42750,
,"GL",10478,
"absolute","GR",22323,
,"JU",12637,
,"LU",21235,
,"NE",21795,
,"NW","-",
,"OW",2019,
,"SH",12770,
,"SZ",9973,
,"SO",24343,
,"SG",34425,
,"TG",14214,
,"TI",29540,
,"UR","-",
,"VS",22477,
,"VD",76735,
,"ZG",5033,
,"ZH",134299,
