"metadata","canton","value","value_metadata"
"Politics","AG",40665,
"Number of FDP / PLR Voters per Canton","AR",18666,
"People per Canton","AI",0,
,"BS",10220,
,"BL",22811,
,"BE",72348,
2007,"FR",18793,
"October 22nd 2011","GE",17234,
,"GL",0,
"absolute","GR",17991,
,"JU",4589,
,"LU",40254,
,"NE",10687,
,"NW",0,
,"OW",0,
,"SH",9969,
,"SZ",11982,
,"SO",26215,
,"SG",31849,
,"TG",14700,
,"TI",45861,
,"UR",15122,
,"VS",24464,
,"VD",50924,
,"ZG",11891,
,"ZH",89532,
